WARNING: sun.reflect.Reflection.getCallerClass is not supported. This will impact performance.
14:27:37.716 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/repository/ExchangeRatesService$a; a line coverage of: 100.0%
14:27:37.717 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/repository/ExchangeRatesService$LocalDateAdapter; a line coverage of: 7.1428576%
14:27:37.717 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/repository/ExchangeRatesService$c; a line coverage of: 23.076923%
14:27:37.717 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/view/main/MainActivity$b; a line coverage of: 6.818182%
14:27:37.718 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/repository/ExchangeRatesService; a line coverage of: 21.393036%
14:27:37.718 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/view/main/spinner/SearchableSpinner$a; a line coverage of: 18.181818%
14:27:37.718 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/view/main/MainActivity; a line coverage of: 46.254684%
14:27:37.718 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/repository/ExchangeRatesService$RatesAdapter; a line coverage of: 2.9761906%
14:27:37.718 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/repository/ExchangeRatesService$b; a line coverage of: 52.941177%
14:27:37.718 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/view/main/spinner/SearchableSpinner; a line coverage of: 63.909775%
14:27:37.718 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/model/ExchangeRatesJsonAdapter; a line coverage of: 69.620255%
14:27:37.719 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/view/main/MainActivity$a; a line coverage of: 6.818182%
14:27:37.719 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/view/main/spinner/SearchableSpinner; a branch coverage of: 46.153847%
14:27:37.719 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/model/ExchangeRatesJsonAdapter; a branch coverage of: 30.000002%
14:27:37.719 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/repository/ExchangeRatesService; a branch coverage of: 12.5%
14:27:37.719 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/view/main/MainActivity; a branch coverage of: 27.093596%
14:27:37.720 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - Total line coverage: 19.264168190127968%
14:27:37.721 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - Total branch coverage: 10.93525179856115%
